Discipline,Academic level,Self-evaluation,Human VS Zombie,Human VS 5 Zombies,Red Machine VS Zombie,Pain Machine VS Zombie,Pain Machine,Pleasure Machine VS Zombie,Kill VS Zombify (other),Kill VS Zombify (self),Meta-ethical stance,Ethical stance,Monism VS Pluralism,Explanatory stance
Other,Master's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
None,Master's degree,3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Doctorate,4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,Undergraduate (you have been or are in training but you have no diploma),1,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",Indifferent,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Unsure/none,Unsure/none,Unsure/none,Unsure/none.
Philosophy,Undergraduate (you have been or are in training but you have no diploma),5,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",No,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Consequentialist ethics,Unsure/none,Physicalism
None,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Master's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
None,Doctorate,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
None,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Consequentialist ethics,Unsure/none,Physicalism
None,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,Undergraduate (you have been or are in training but you have no diploma),2,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Unsure/none,Value monism (There is only one ethical value/good shared by all valued/good things.),Dualism
Philosophy,Undergraduate (you have been or are in training but you have no diploma),2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Eliminativism/illusionism.
Philosophy,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Moral realism,Consequentialist ethics,Unsure/none,Other
Philosophy,Doctorate,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,Undergraduate (you have been or are in training but you have no diploma),4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Eliminativism/illusionism.
Philosophy,Doctorate,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Consequentialist ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Physicalism
None,Bachelor's degree,1,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Other,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Undergraduate (you have been or are in training but you have no diploma),3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Switch off your life support.,Moral realism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Bachelor's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),No,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Switch off your life support.,Moral realism,Deontological ethics,Value monism (There is only one ethical value/good shared by all valued/good things.),Eliminativism/illusionism.
Philosophy,Doctorate,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Deontological ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
Neuroscience,Bachelor's degree,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Moral realism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),neutral monism
Cognitive psychology,Undergraduate (you have been or are in training but you have no diploma),4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Anti-realism/subjectivism/relativism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
Philosophy,Master's degree,4,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),Indifferent (The scientist chooses randomly.),Indifferent (the scientist will randomly choose.),Indifferent,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Other,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Neuroscience,Undergraduate (you have been or are in training but you have no diploma),3,Indifferent (press no button and let the scientist randomly choose A or B.),Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Switch off their life support.,Switch off your life support.,Nihilism,Unsure/none,Value monism (There is only one ethical value/good shared by all valued/good things.),Dualism
Philosophy,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Become a philosophical zombie.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
Other,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.",Indifferent (activate no switch and let the scientist randomly choose A or B.),"Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Nihilism,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Undergraduate (you have been or are in training but you have no diploma),4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Anti-realism/subjectivism/relativism,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Master's degree,5,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.",Indifferent (The scientist chooses randomly.),"Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,Indifferent (the scientist will randomly choose.),Indifferent (let the scientist choose randomly.),Switch off your life support.,Unsure/none,Unsure/none,Unsure/none,Other
Cognitive psychology,Undergraduate (you have been or are in training but you have no diploma),4,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,Indifferent (the scientist will randomly choose.),Switch off their life support.,Indifferent (the scientist chooses one randomly.),Moral realism,Other,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,None,2,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room A switch turning off the P zombie being’s life support, preserving the machine with a single constant experience of pain.",Indifferent,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Switch off their life support.,Switch off your life support.,Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
Philosophy,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Indifferent (let the scientist choose randomly.),Switch off your life support.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Dualism
None,Undergraduate (you have been or are in training but you have no diploma),2,Indifferent (press no button and let the scientist randomly choose A or B.),"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Indifferent (let the scientist choose randomly.),Indifferent (the scientist chooses one randomly.),Unsure/none,Unsure/none,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Unsure/none.
None,Master's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Anti-realism/subjectivism/relativism,Consequentialist ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Physicalism
None,None,3,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Nihilism,Unsure/none,Unsure/none,Unsure/none.
Other,Master's degree,3,"Activate switch B, turning off the life support for the phenomenally conscious being, waking up the P zombie being in room A.","Activate switch B, turning off the life support for the phenomenally conscious being, waking up the five P zombie beings in room A.","Activate switch A, turning off the life support for the P zombie being in room A, preserving the phenomenally conscious machine with a single experience of red.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Yes,"Button A, turning off the life support for the P zombie being, preserving the machine with a single constant experience of happiness.",Turn them into a philosophical zombie.,Become a philosophical zombie.,Moral realism,Other,Value monism (There is only one ethical value/good shared by all valued/good things.),Unsure/none.
Other,Bachelor's degree,4,"Activate switch A, turning off the life support for the P zombie being, waking up the phenomenally conscious being in room B.","Activate switch A, turning off the life support sustaining the five P zombie beings, waking up the phenomenally conscious being in room B.","Activate switch B, turning off the phenomenally conscious machine with a single experience of red, preserving the P zombie being in room A.","Activate room B switch turning off the phenomenally conscious machine with a single constant experience of pain, preserving the P zombie being.",Indifferent,"Button B, turning off the machine experiencing a single constant experience of happiness, waking up the P zombie being.",Turn them into a philosophical zombie.,Switch off your life support.,Moral realism,Virtue ethics,Value pluralism (Several values or “goods” may be equally correct and fundamental.),Other
